business_name,area,category,classification,observed_name,identity_similarity,resolved_cid,decision,reason,existing_cid_businesses,screenshot,screenshot_sha256,final_url
"Casitas Mar y Luz - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,exact,Hotel Casitas Mar y Luz,1.0,8515965990195848246,collision_review,CID already assigned in master,"Hidden Jungle Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",unsigned-full/screenshots/01-b70f4dfece.jpg,19f1d5cce1e9e7fa473ef038002387d7603ec02b957ad79eefbcb84d57aa1c91,"https://www.google.com/maps/place/Hotel+Casitas+Mar+y+Luz/@9.6355893,-82.7086683,17z/data=!4m9!3m8!1s0x8fa645661ccf7329:0x762ec9f2d4ee6436!5m2!4m1!1i2!8m2!3d9.6355893!4d-82.7086683!16s%2Fg%2F12hpqzs_s?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Hotel Kasha - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,exact,Hotel Kasha,1.0,2789448993779357106,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/02-34a1358b0f.jpg,96e0b91824bc6e71e55292f12807c2a1b1f4a9662dff78ce734af4fb2d4e112e,"https://www.google.com/maps/place/Hotel+Kasha/@9.6385459,-82.714302,17z/data=!4m9!3m8!1s0x8fa6507783af0ae1:0x26b61d14a94a15b2!5m2!4m1!1i2!8m2!3d9.6385459!4d-82.714302!16s%2Fg%2F1tfr1h6l?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,hotel,probable,La Ceiba Reserva Natural,0.638,1693592634910607224,review,classifier=probable,,unsigned-full/screenshots/03-25e053d740.jpg,02fbdd1b574a919de1167a13201c4d648653549cf6c1e1e2c403edf73eb998dc,"https://www.google.com/maps/place/La+Ceiba+Reserva+Natural/@9.62233,-82.698296,17z/data=!3m1!4b1!4m9!3m8!1s0x8fa6450ceab4eeff:0x1780d98746108778!5m2!4m1!1i2!8m2!3d9.62233!4d-82.698296!16s%2Fg%2F11b73knj3k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Samasati Yoga and Wellness Retreat - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,probable,Samasati Retreat Center,0.561,2378802529330389577,review,classifier=probable,,unsigned-full/screenshots/04-0bceab0469.jpg,18234072f9b9fd877c88d285312ae0650be688d37d47f196b16273332539798d,"https://www.google.com/maps/place/Samasati+Retreat+Center/@9.6559269,-82.8061135,17z/data=!4m9!3m8!1s0x8fa650a4159d9805:0x2103344c0789e249!5m2!4m1!1i2!8m2!3d9.6559269!4d-82.8061135!16s%2Fg%2F1tdw93ln?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Villa Mena Apartments - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,exact,villa mena apartamentos,0.955,2340777439094833292,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/05-e7ada7e865.jpg,45e5354ea89cecb9aa9ab4a702c01bdace7c572406d59995b3646a0c2e014bfa,"https://www.google.com/maps/place/villa+mena+apartamentos/@9.6336027,-82.8109469,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa65a1a6f28a449:0x207c1cadcb7f008c!8m2!3d9.6336027!4d-82.8109469!16s%2Fg%2F1yglpdzvq?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Estrellas Cabinas,Puerto Viejo,vacation_rental,ambiguous,Results,0.333,10951227846186482107,review,classifier=ambiguous,Cabinas Monte Sol,unsigned-full/screenshots/06-a00f3286e5.jpg,b0bb8c3629819a67240f04213941c5c05fcd8d728705461f1def3116692aa2d4,"https://www.google.com/maps/search/Estrellas+Cabinas+Puerto+Viejo+Lim%C3%B3n+Costa+Rica/@9.6475431,-82.7509733,15z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Cabinas Cable Talamanca - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,exact,Cabinas Cable Talamanca - Entire Place,1.0,7573981416846739723,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/07-7271f999d9.jpg,4ebf3cf22200760e6afe53b2324bb55f1fcbfa191034df888edbe40ce651c511,"https://www.google.com/maps/place/Cabinas+Cable+Talamanca+-+Entire+Place/@9.6496706,-82.7625732,17z/data=!3m1!4b1!4m10!3m9!1s0x8fa650766477a15f:0x691c2ff84e8f490b!5m2!4m1!1i2!8m2!3d9.6496706!4d-82.7625732!16s%2Fg%2F11z6m2mp_v!17BQ0FF?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Las Casitas de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,exact,Las Casitas de Playa Negra,1.0,8689012956679917112,collision_review,CID already assigned in master,Douglasville Guesthouse,unsigned-full/screenshots/08-5cddc6005d.jpg,8d3a8b0dca8ed48cb2086ab601ac84fe0c4f3c0fb62428135fd9ddc3887b304b,"https://www.google.com/maps/place/Las+Casitas+de+Playa+Negra/@9.6518829,-82.7579579,17z/data=!4m9!3m8!1s0x8fa65074973236bf:0x7895933f6bac4e38!5m2!4m1!1i2!8m2!3d9.6518829!4d-82.7579579!16s%2Fg%2F11b6gcbx2w?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Los Continentes - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,exact,Los Continentes,1.0,16195237219481974530,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/09-281824f504.jpg,14cf6f4c51aa33ee4eff90173e22d36f7f0aafbafbf262ec8f679828b5672566,"https://www.google.com/maps/place/Los+Continentes/@9.6428166,-82.7265688,17z/data=!4m9!3m8!1s0x8fa6455702b65351:0xe0c10a71f0687702!5m2!4m1!1i2!8m2!3d9.6428166!4d-82.7265688!16s%2Fg%2F11cfdpk42?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Habitat Vacation Rentals - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,exact,Casa Cumbia Vacation Rental,0.784,5613050885601789841,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/10-6d7c3846f8.jpg,ba09ace4b44a9e92ec0441de0f4d6df67fae078f4c6f8b2cd79ac7e7835a780a,"https://www.google.com/maps/place/Casa+Cumbia+Vacation+Rental/@9.6570435,-82.7510262,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa651aa4f4cdc23:0x4de5900a8e7c8791!8m2!3d9.6570435!4d-82.7510262!16s%2Fg%2F11jq_y39x0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Casas del Caribe - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,exact,CASAS del CARIBE,1.0,2489061038640189430,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/11-daec5f3541.jpg,51587b1336d472583d6f1c29bb4e2b6fc164e3413a670d90b5e98b28777a8c26,"https://www.google.com/maps/place/CASAS+del+CARIBE/@9.637519,-82.707801,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa645667b778863:0x228aebd3b869cff6!8m2!3d9.637519!4d-82.707801!16s%2Fg%2F11c7s9ql5x?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Uva Blue Jungle Villas - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,exact,Uva Blue Villas,0.811,9838950680602433731,collision_review,CID already assigned in master,"Villa Laurel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",unsigned-full/screenshots/12-5e1997aaa7.jpg,da6845733b99f1ea2225395cecdcfe590aab6c9813c052a7204d256a9c4ef05e,"https://www.google.com/maps/place/Uva+Blue+Villas/@9.63743,-82.7139568,17z/data=!4m9!3m8!1s0x8fa64567825cabfd:0x888af983d7e558c3!5m2!4m1!1i2!8m2!3d9.63743!4d-82.7139568!16s%2Fg%2F11c2nrf8rg?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Villa del Mar - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,exact,Villa del Mar Hotel Boutique,1.0,10974417683706909929,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/13-0a97d1bd09.jpg,8e03014d25d8e37ae518b969f3f31f31e6479991d7711b406b5cafd4ec51f19f,"https://www.google.com/maps/place/Villa+del+Mar+Hotel+Boutique/@9.7356602,-82.8399951,17z/data=!3m1!4b1!4m9!3m8!1s0x8fa656a0591e55a1:0x984cf6bd061d94e9!5m2!4m1!1i2!8m2!3d9.7356602!4d-82.8399951!16s%2Fg%2F11gbks3r8t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Big Tree Wildlife Refuge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,vacation_rental,exact,Villa Toucan & Villa Macaw at BIG TREE Refuge,0.75,5233367816302543964,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/14-42faa88cf7.jpg,6df6a8d1ae808d6fc3a13670334df35e999492a1cfd6a6f4a8c28c93ec45a440,"https://www.google.com/maps/place/Villa+Toucan+%26+Villa+Macaw+at+BIG+TREE+Refuge/@9.6304418,-82.6879437,17z/data=!4m9!3m8!1s0x8fa645c14a747d43:0x48a0a84d25acc45c!5m2!4m1!1i2!8m2!3d9.6304418!4d-82.6879437!16s%2Fg%2F11j07x3sl7?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Ginger and Cacao - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,vacation_rental,probable,Cabinas Ginger & Cacao,0.667,1074114199983889358,review,classifier=probable,,unsigned-full/screenshots/15-2849276723.jpg,c00491c7b623f554b5407e6bcd524c76126a2b53700e3fec0a21743854b27c29,"https://www.google.com/maps/place/Cabinas+Ginger+%26+Cacao/@9.6343679,-82.7009683,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa6457072d427a3:0xee8052c8a3e1bce!8m2!3d9.6343679!4d-82.7009683!16s%2Fg%2F11cs18h1bh?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Los Proyectos Moderno - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,vacation_rental,exact,Los Proyectos Moderno,1.0,17163510404658526674,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/16-2858c11994.jpg,6ad7ec98da829f906b9f8d26bc7d7e0f1934e8608541ffea927e933528ea7ae2,"https://www.google.com/maps/place/Los+Proyectos+Moderno/@9.5923914,-82.6963127,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa645a58b500e39:0xee3109c6e06479d2!8m2!3d9.5923914!4d-82.6963127!16s%2Fg%2F11g2yy9dtf?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"El Sol del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,exact,Sol del Caribe,0.903,1216870082731283437,collision_review,CID already assigned in master,"Flor del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",unsigned-full/screenshots/17-31179852a0.jpg,ee2389a01fe1ed912a1e44ef214b230f4de32c4b0d6cb4b3983f78219632a42f,"https://www.google.com/maps/place/Sol+del+Caribe/@9.6505806,-82.7373264,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa65001a0e8e873:0x10e330e49aff93ed!8m2!3d9.6505806!4d-82.7373264!16s%2Fg%2F11c5206xg2?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Playa Negra Brewing - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,restaurant,exact,Playa Negra Brewing Beachfront Hotel,1.0,8816532573875491055,collision_review,CID already assigned in master,"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",unsigned-full/screenshots/18-71b0720b69.jpg,3567add4b21d4fae7115a4ed03f432c5e533221b20befb4eac3b85cbbce90381,"https://www.google.com/maps/place/Playa+Negra+Brewing+Beachfront+Hotel/@9.6537453,-82.7584704,17z/data=!4m9!3m8!1s0x8fa6500ceaaaaaad:0x7a5a9da9f88250ef!5m2!4m1!1i2!8m2!3d9.6537453!4d-82.7584704!16s%2Fg%2F1tnctzbh?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Super Negro Hone Creek - Hone Creek, Limón, Costa Rica",Hone Creek,shopping,exact,Super Negro Hone Creek,1.0,17530375863814220827,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/19-4737e02ad7.jpg,8d90e80920cd601b9e66adb5b805ba6930f9e143d52c87fda3a113be41912355,"https://www.google.com/maps/place/Super+Negro+Hone+Creek/@9.656133,-82.798142,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa650988adf6f5d:0xf34867f7ddba6c1b!8m2!3d9.656133!4d-82.798142!16s%2Fg%2F11cs6khmnl?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"We Do Laundry - Hone Creek, Limón, Costa Rica",Hone Creek,services,probable,WeDOlaundry - Caribe,0.71,7766901451570548014,review,classifier=probable,,unsigned-full/screenshots/20-1616ae5f20.jpg,3af4e73cba8306f96e1dcc01c39ee1a48b35894c1feb0871c47c58b706b42c07,"https://www.google.com/maps/place/WeDOlaundry+-+Caribe/@9.6843049,-82.7522283,12z/data=!3m1!4b1!4m6!3m5!1s0x24d4fc8b8a07714f:0x6bc993b82a540d2e!8m2!3d9.6843049!4d-82.7522284!16s%2Fg%2F11vhxg_yh1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Centro Educativo Playa Chiquita Punta Uva - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,services,probable,Playa Chiquita Education Center Punta Uva,0.667,15763192850089670329,review,classifier=probable,,unsigned-full/screenshots/21-78100c7eeb.jpg,b1650446c208847504f90a0cb5ead5d556f3c7a270258540cbd532729fb151e6,"https://www.google.com/maps/place/Playa+Chiquita+Education+Center+Punta+Uva/@9.6374263,-82.7074432,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa64565d43b40e7:0xdac21c61539276b9!8m2!3d9.6374263!4d-82.7074432!16s%2Fg%2F11h1b5dy2?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Proyecto Educativo Semillas de Paz - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,services,ambiguous,Jardin Infantil Las Semillas,0.452,938478883870584374,review,classifier=ambiguous,,unsigned-full/screenshots/22-10d2a40520.jpg,7dbdb82cec9f9300b841b299778960b65db30780ffb171037b9e4c355655925e,"https://www.google.com/maps/place/Jardin+Infantil+Las+Semillas/@9.6354459,-82.7062983,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa645e2c6e44175:0xd062592964fae36!8m2!3d9.6354459!4d-82.7062983!16s%2Fg%2F11gy30vvdh?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Ceibo Adventure - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,tour_company,ambiguous,Jungle Green House,0.364,10566257576749882719,review,classifier=ambiguous,"Green Jungle House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",unsigned-full/screenshots/23-bc944369d7.jpg,10d9b005bc177532a6fac8d6bfbf0bb059927ae917210339731fc34c29e12126,"https://www.google.com/maps/place/Jungle+Green+House/@9.6349625,-82.7129844,17z/data=!4m9!3m8!1s0x8fa64567efd1cd35:0x92a2e3489b74dd5f!5m2!4m1!1i2!8m2!3d9.6349625!4d-82.7129844!16s%2Fg%2F11c1wvxqy5?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Talamanca Chocolate - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,tour_company,probable,"Cacao Huasi - chocolate classes, restaurant and sunset cocktails",0.5,1242408439996904931,review,classifier=probable,Cacao Huasi,unsigned-full/screenshots/24-8f119ec845.jpg,e3a1a91201c02308cfe0150ed8cf860c6935628d919779d081c100aa81b368b8,"https://www.google.com/maps/place/Cacao+Huasi+-+chocolate+classes,+restaurant+and+sunset+cocktails/@9.6561041,-82.7558827,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa65b978b269441:0x113debe4c3f675e3!8m2!3d9.6561041!4d-82.7558827!16s%2Fg%2F11fjtns6xq?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Servicentro Hone Creek - Hone Creek, Limón, Costa Rica",Hone Creek,services,probable,Hone Creek Gas Station,0.667,11028453782334017200,review,classifier=probable,,unsigned-full/screenshots/25-b5ba661d03.jpg,9f121f1a2db691ba887bbe9bc190b622fe45d0afee5c3726f252dd10ec1f0fff,"https://www.google.com/maps/place/Hone+Creek+Gas+Station/@9.6585528,-82.7982404,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa65098166f6b9f:0x990cf048a5d50eb0!8m2!3d9.6585528!4d-82.7982404!16s%2Fg%2F1tftgck6?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
El Faro 13,Puerto Viejo,hostel,exact,El Faro 13,1.0,3318057307050382237,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/26-76d77c9214.jpg,cf1684d7ad75b63f524ceed972886b099c97552cc4f22582a2736b3f1a3ad3db,"https://www.google.com/maps/place/El+Faro+13/@9.6556743,-82.7480458,17z/data=!4m9!3m8!1s0x8fa6500fadbd8a03:0x2e0c1b8a7b20939d!5m2!4m1!1i2!8m2!3d9.6556743!4d-82.7480458!16s%2Fg%2F11bxg1l9hp?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Hotel Cariblue,Cocles,hotel,probable,Cariblue Beach and Jungle Resort,0.5,14658668036585456092,review,classifier=probable,"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",unsigned-full/screenshots/27-e277ca2efd.jpg,7b2d7bd7058c5bdd9ba3718f73d48d5bb4cd796f5d38da04a032a4807396b814,"https://www.google.com/maps/place/Cariblue+Beach+and+Jungle+Resort/@9.6501905,-82.7392681,17z/data=!4m9!3m8!1s0x8fa650013b7fc357:0xcb6e0cea110c81dc!5m2!4m1!1i2!8m2!3d9.6501905!4d-82.7392681!16s%2Fg%2F1tfwlf16?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Hotel Posada Nena,Puerto Viejo,hotel,probable,"Posada Nena Caribe, Puerto Viejo de Talamanca - Deluxe Double Room with Balcony",0.667,11698915664369749164,review,classifier=probable,,unsigned-full/screenshots/28-af121c3253.jpg,e30e837603e7425dfb88e912ded1e416e9afa665ee7b25093f9ae1502405438c,"https://www.google.com/maps/place/Posada+Nena+Caribe,+Puerto+Viejo+de+Talamanca+-+Deluxe+Double+Room+with+Balcony/@9.65662,-82.7516632,17z/data=!4m10!3m9!1s0x8fa6500dc2eadd7d:0xa25ae5d030030cac!5m2!4m1!1i2!8m2!3d9.65662!4d-82.7516632!16s%2Fg%2F11z5r034sy!17BQ0FF?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Hotel Sunshine Caribe,Puerto Viejo,hotel,exact,SUNSHINE CARIBE,0.833,2012278593659589679,collision_review,CID already assigned in master,"Sunshine Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",unsigned-full/screenshots/29-5dfbd5e80f.jpg,2fd10bd769cd297efc90fffc169f5db47dfe27813b18e334c51d664a76d8d102,"https://www.google.com/maps/place/SUNSHINE+CARIBE/@9.6524246,-82.75797,17z/data=!4m9!3m8!1s0x8fa650749ea08af1:0x1bed0cb82c33d42f!5m2!4m1!1i2!8m2!3d9.6524246!4d-82.75797!16s%2Fg%2F11f53fmgr4?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Lapalapa Beach Front Hotel,Cocles,hotel,exact,Lapalapa Beachfront,0.844,10103267938150795136,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/30-dadcf5fd71.jpg,c339d5bd044f3630ae1ec10dafa711e0f79384afb0219be035b8d19d2fbe39d9,"https://www.google.com/maps/place/Lapalapa+Beachfront/@9.7351504,-82.8452683,17z/data=!3m1!4b1!4m10!3m9!1s0x8fa6569e5359741b:0x8c3604a90c124780!5m2!4m1!1i2!8m2!3d9.7351504!4d-82.8452683!16s%2Fg%2F11nbzyh4ny!17BQ0FF?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Le Cameleon Boutique Hotel,Cocles,hotel,exact,Le Cameleon Hotel Puerto Viejo,0.75,4837747133838124638,collision_review,CID already assigned in master,"Le Caméléon - Playa Cocles, Puerto Viejo, Limón, Costa Rica",unsigned-full/screenshots/31-69b7bf1985.jpg,543efb2e39c95cb1fa7754275ba92aaaefdab0d05ad98cd6a76c7436bd592b39,"https://www.google.com/maps/place/Le+Cameleon+Hotel+Puerto+Viejo/@9.6440801,-82.7279641,17z/data=!4m9!3m8!1s0x8fa65aa348583b73:0x432321630195e65e!5m2!4m1!1i2!8m2!3d9.6440801!4d-82.7279641!16s%2Fg%2F1xg5tr7v?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Paula's and Daniel's Homestay,Puerto Viejo,hotel,ambiguous,Results,0.167,1261667056997797786,review,classifier=ambiguous,La Casa de Rolando,unsigned-full/screenshots/32-396fb2e9cf.jpg,a2c4fc31df0299731cb60794a5a4eb43fdb7208f6b30fbfedb30c5ef30ee7358,"https://www.google.com/maps/search/Paula's+and+Daniel's+Homestay+Puerto+Viejo+Lim%C3%B3n+Costa+Rica/@9.6444198,-82.7432862,14z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Vista Verde,Puerto Viejo,hotel,exact,Vista Verde,1.0,5511726850680415410,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/33-5e295f989c.jpg,6ef7bed68e8833d1eb02b449cadcc4987daee8028add7ec5a869e188de45a2ff,"https://www.google.com/maps/place/Vista+Verde/@9.6582355,-82.7490158,17z/data=!4m10!3m9!1s0x8fa65011d9ae9891:0x4c7d965e49c9e4b2!5m2!4m1!1i2!8m2!3d9.6582355!4d-82.7490158!16s%2Fg%2F11z21j2ml8!17BQ0FF?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Café Rico,Puerto Viejo,restaurant,exact,Cafe Rico,1.0,5741623948918730601,collision_review,CID already assigned in master,Cafe Rico,unsigned-full/screenshots/34-bc68ef7988.jpg,022f617d89fa7fc20afc08cbf2a8813ef3d45a7f3de7966950d2e548c763e8a2,"https://www.google.com/maps/place/Cafe+Rico/@9.6571732,-82.7527759,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa6500d8e047c1d:0x4fae588fa52d2f69!8m2!3d9.6571732!4d-82.7527759!16s%2Fg%2F11b67k5_0x?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Chili Rojo,Puerto Viejo,restaurant,probable,Umi Rojo,0.667,2449275981368445735,review,classifier=probable,Chile Rojo,unsigned-full/screenshots/35-868d1b1e21.jpg,417cee70ac42d89f0f1bd931b30e1e21fb5be62b89f02f9597eba0e464aa249e,"https://www.google.com/maps/place/Umi+Rojo/@9.650132,-82.7366214,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa6500d76aaa4cd:0x21fd93873a5ccb27!8m2!3d9.650132!4d-82.7366214!16s%2Fg%2F11b679x57b?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Río Negro,Cocles,restaurant,exact,Finca Rio Negro,1.0,9366602319080449218,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/36-a732f60396.jpg,575762372f3fcd7a5e0900c671411bc3a71e41fec490f19f7772f4b7c01cb3d5,"https://www.google.com/maps/place/Puntarenas+Province,+Finca+Rio+Negro/@8.8785548,-82.858604,15z/data=!3m1!4b1!4m6!3m5!1s0x8fa5cc5dfe38d571:0x81fcdb2ecd23e4c2!8m2!3d8.878555!4d-82.858604!16s%2Fg%2F1tghqn0x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
