record_id,business_name,area,old_whatsapp,new_whatsapp,display_name,identity_result,screenshot_path,screenshot_sha256
26bc5e78e0fa335d,"Ara Manzanillo - Manzanillo, Limón, Costa Rica",Manzanillo,,+50689711436,Ara Manzanillo,match,screenshots/26bc5e78e0fa335d.jpg,0b57dc4e86563d76c4cd1c1c91fe4512fc6bc829fbeccd77e79eefe4dd07a570
5c0bc6b615dad527,"AroCocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,,+50688554371,AroCocles,match,screenshots/5c0bc6b615dad527.jpg,4a7341d3e66166b497a4df23798ee6531329f2c075a60b9939ee3b6f1ce929df
295a2b864abf88fe,"Bambutel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,,+50672905459,Bambutel,match,screenshots/295a2b864abf88fe.jpg,0f8a434cbff4212e3cd6915826a9e81ac3304165498121b547699e7bb781fac6
1091a843692f7348,Beauty Ritual Spa,Cocles,,+50683148943,Beauty Ritual Spa,match,screenshots/1091a843692f7348.jpg,e7a6730d920e4242360650238b7663aa78fa82f9123a84a2bf359ebd28958214
fdfc1fc9dd703ff4,"Blossom Paradise Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,,+50684381065,Blossom Paradise,match,screenshots/fdfc1fc9dd703ff4.jpg,c697432a210f458d4954333edb8d45fc5cae1887f57f2073ac175b351fff3336
615e3179699a1d7a,Bugambilia Inn,Playa Negra,,+50684276818,Bugambilia Inn,match,screenshots/615e3179699a1d7a.jpg,6661e47feaf7949451a9711a002801c92fb82b4dd0e7a003f506e5c24b9c142c
c93f46d7d26cde65,"Bungalows Sloth - Manzanillo, Limón, Costa Rica",Manzanillo,,+50670040405,Bungalows Sloth,match,screenshots/c93f46d7d26cde65.jpg,43fc50a87105dd88a05260b56bfb27286749a8f231d63ee28bb8bbc001c3d581
b73f3fdea147f878,Cabañas KiaMiMi,Puerto Viejo,,+50686092424,Kiamimi,match,screenshots/b73f3fdea147f878.jpg,65fc7522c1302df4830ba39d797a481b295574d0fc77e4b836623f012afbfceb
4240a6d2ba6aa979,"Cabinas El Mango - Bribri, Limón, Costa Rica",Bribri,,+50689962637,Cabinas el Mango,match,screenshots/4240a6d2ba6aa979.jpg,4b3a75bce99cc6a915973e4f73f4a63a70ec43838a5e195adb7f457ce71bb39a
c0b90104d6d46c45,Cabinas KiAMiMi,Puerto Viejo,,+50686092424,Kiamimi,match,screenshots/c0b90104d6d46c45.jpg,65fc7522c1302df4830ba39d797a481b295574d0fc77e4b836623f012afbfceb
d7ba80ec0fdebc32,Cabinas Los Almendros,Puerto Viejo,,+50627500235,Cabinas Los Almendros,match,screenshots/d7ba80ec0fdebc32.jpg,0161ea2a8bff81b3c4df39eaa649a4f43680e33c1d0a15923869308feee597e2
710f62c7b738eff5,"Cabinas Palmer Makanda - Cahuita, Limón, Costa Rica",Cahuita,,+50627550435,Cabinas Palmer,match,screenshots/710f62c7b738eff5.jpg,4d4429ec04a55b6ae3bd0455b7b7f895af53949744a9fed22d666f0bbd368312
db0e77e0ee6af508,"Cabinas Smith - Cahuita, Limón, Costa Rica",Cahuita,,+50670582207,Cabinas Smith,match,screenshots/db0e77e0ee6af508.jpg,b27acc8771b25ffec41be89b9f3b665e89014365b9f75b159eeaf2aec666bba7
765714bb9ec9de2c,Cabinas Wray,Puerto Viejo,,+50687402102,Cabinas Wray,match,screenshots/765714bb9ec9de2c.jpg,551fc769795c728e684ce7f8398494d276f77dc208be0cd23633b91a609584e8
a34ee46115962b18,Caribbean Blue Morpho Casitas,Playa Negra,,+50689836677,Caribbean Blue Morpho Casitas,match,screenshots/a34ee46115962b18.jpg,f9a8ed342c9ff9bcbb21048a9f9be749d03904d8d3f99c6efdf422804401eb24
7e57bfe67f4d1348,Caribe Dental,Puerto Viejo,,+50688199975,Caribe Dental,match,screenshots/7e57bfe67f4d1348.jpg,8954aea1f901b3fd2a4de945c68166f4d7f370ddbbddbf25d660d1146f8b33ad
239e5c79bfc90574,"Caribe Horse Riding Club - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,,+50687054250,Caribe horse,match,screenshots/239e5c79bfc90574.jpg,e4b75f3eebda19e36675d0f89812140d3d4f4639ef3c520e962811a20077660d
8070456648bca97c,"Casa Ackee - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,,+50683041474,Casa Ackee,match,screenshots/8070456648bca97c.jpg,ef12ed72139f1ef2bbd32a6ab374004164c1c3d362dd0d2e0856cb0eee9ddbb6
9ec60168879d0f41,"Casa Luce - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,,+50689536016,Casa Luce,match,screenshots/9ec60168879d0f41.jpg,535ac079d5a8a8baf2f5f552d925710daa56b2a5a340af041a7e667f09e07e56
dfa97e157ec79759,casa tia zeidy,Playa Negra,,+50687713361,Casa tia zeidy & Cacao Beauty & Massage And Farmasi Products,match,screenshots/dfa97e157ec79759.jpg,7edd5a6f609ffcac231bd0a81c671e41a992872bb11b54061c9ceef9f509dfb4
06b9f421f64665f1,Casa Wolaba,Puerto Viejo,,+50661352969,Casa Wolaba Puerto Viejo,match,screenshots/06b9f421f64665f1.jpg,b412d9465d72fbf597d6a9b7ca17cb6a3921c1a3a1fa50ce946c66ea07c9b11c
fc4709c037ce3eca,Cerrajería Paris,Puerto Viejo,,+50660851666,Cerrajería París,match,screenshots/fc4709c037ce3eca.jpg,780f2b11cf8e67e44f29ace44a89a5a3bc3c8015f3bee0c96b8cf9dbf65bd38c
01c6f3ec29602422,CHOCORART,Puerto Viejo,,+50687862229,Chocorart Tour,match,screenshots/01c6f3ec29602422.jpg,9ff702ae431e6f90144769544705a266ff42cae4a45eb616c1fec0f139181756
737c082fd073d545,Coldwell Banker Caribe,Puerto Viejo,,+50671718812,Coldwell Banker Caribe,match,screenshots/737c082fd073d545.jpg,42c3eeb6bc995805885767b62d178d65945890c4cd6628bcc438d213e52ce2bb
5c6e7975bf797ee5,"Colibri Lodge Gandoca - Gandoca, Limón, Costa Rica",Gandoca,,+50627541057,Colibrí Lodge Gandoca,match,screenshots/5c6e7975bf797ee5.jpg,ff02f563f1f35ea7ace20804099236dde2750e959f72e38cad74034829fd36b7
67cf1a0db817e893,"Colores Restaurant and Beach Lounge - Manzanillo, Limón, Costa Rica",Manzanillo,,+50662030798,Colores restaurant and beach lounge,match,screenshots/67cf1a0db817e893.jpg,1ae04cf2dcd6d529da10544499e357177b9463bb9b1d7864e30d5fd5f1b5aa5c
3aeb10e56f830061,Conga Boutique Hotel,Puerto Viejo,,+50627500681,Conga Boutique Hotel,match,screenshots/3aeb10e56f830061.jpg,f463a51b67d583fd533f8e58ea9ac5cf64d58d35efb4d11478c93e5474f0b5ec
00133378f5feda6b,Doctah Herbalist,Cocles,,+50670618099,The Bush Doctah Herbalist,match,screenshots/00133378f5feda6b.jpg,ba1ae1b05389426f1842c953590ac5ad8daaea8d853326df1556ebf67f1dce20
b3403629a32b94df,"El Chante de Moncho - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,,+50683147444,El Chante De Moncho,match,screenshots/b3403629a32b94df.jpg,2669a752ccde20cf8f35f8be59a199361b676c6cef42be5a9e4aeec281f2bc80
3dee914eccbce52b,El Clan Hostel,Puerto Viejo,,+50663741221,El Clan Hostel,match,screenshots/3dee914eccbce52b.jpg,35f4778f71cceb4fbf66accef13c5027ebe8d7e994f0e0cd2acb0fe1445e6538
b498b55b00d5cae9,"El Pampa Asador - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,,+50662741880,El Pampa Asador,match,screenshots/b498b55b00d5cae9.jpg,5d0a46e36d04e4e7fbf6f4d0e5fd23e9ed0f04bfc01d5fe52b64f81f3ce52f0a
4cf779e2a854825a,Elena De Luca Studio,Puerto Viejo,,+50672647530,Elena De Luca Studio,match,screenshots/4cf779e2a854825a.jpg,b0b457c1e2483167ba47dd1e8402bc5da35fc01f7c0be83c7cc10ee7e7b34530
2de8f5ad6a5d09c2,"Exotico Beach - Manzanillo, Limón, Costa Rica",Manzanillo,,+50664113165,Exōtico Beach,match,screenshots/2de8f5ad6a5d09c2.jpg,797c7b9e0d4d521426e08d0609b2f3cd3f55b3a55eba6c9a9a000f7b8d759053
db7c6d8732c78194,Family Hotel,Puerto Viejo,,+50688800338,Family Hotel,match,screenshots/db7c6d8732c78194.jpg,8860f03175c0c1cfbb62ccc00b629eeea37e28089757074521bcb9f1b6870edf
4b22dbd6865b8fd4,Finca Ardilla,Playa Chiquita,,+50686705242,Finca Ardilla Jungle Lodge,match,screenshots/4b22dbd6865b8fd4.jpg,456e9631f52eb5f049e894324cd321b725e1cbae6da0d5ad8072f2667ed9703f
5c2d5784f90e585c,Geckoes Lodge,Cocles,,+50689970563,Tine Geckoes Lodge,match,screenshots/5c2d5784f90e585c.jpg,613e04384a8e5461e892e86ab1c0ad5a3fe7b8092da6fa1862f25ed931e2052f
935c4aa2d91095ff,"Green Jungle House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,,+50684753859,Green Jungle House,match,screenshots/935c4aa2d91095ff.jpg,014c9064bc22bbee5e2524999b6bfd0e282580437dbd6d7c2a2c8ec33ddd7d14
fd6d28df9b78e3fb,"Green Water SUP Tours - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,,+50688444432,Punta uva,match,screenshots/fd6d28df9b78e3fb.jpg,8c58387759da77031e36fbcbd3de374d02965e3066ba7b68aaa62a80d6154247
24cb0a0308cd43da,"Habitat Vacation Rentals - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,,+50688392644,Habitat Vacation Rentals,match,screenshots/24cb0a0308cd43da.jpg,93cea7b6b89132615cff8c226b1630e2be319493776d53645306817f292b9d53
7680f6595d5ddc7c,Hotel Casa Vito,Puerto Viejo,,+50686977557,HOTEL CASA VITO,match,screenshots/7680f6595d5ddc7c.jpg,6803bfbbb7201250db5bab42c172f7bb97959bf756790e75825f7bbe79a39240
63cf1c3e7766843a,"Hotel Los Cielos del Caribe - Cahuita, Limón, Costa Rica",Cahuita,,+50685180187,Hotel Los Cielos Del Caribe,match,screenshots/63cf1c3e7766843a.jpg,5fde86ad08bb4cbdd1a8ba39e345e8116485f445a13a750c9565a7a7131c868e
898265e7782516f2,"Kona Wellness Shala - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,,+50686865662,Kona Wellness Shala,match,screenshots/898265e7782516f2.jpg,67c3f46d6502bd343e6c210497e1e40c3ffb429a05947ffe08e4a5cbfa2c64d0
a78fa604fc38b4d1,La Pecora Nera Ristorante,Playa Negra,,+50684024027,Pecora Nera,match,screenshots/a78fa604fc38b4d1.jpg,9175e8dc55e506abbdda99148d1c57869a5367fe5708fcbc45c2d0b3b37670ec
9fcbda6d7b7ae2bc,"La Rana De Cahuita - Cahuita, Limón, Costa Rica",Cahuita,,+50684285077,La Rana de Cahuita,match,screenshots/9fcbda6d7b7ae2bc.jpg,67434a6ca7aca9ac714f1add821673c6338e6e8e013a518599819fc695c8024d
3c48b4051914d6b3,"La Ruedita - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,,+50660280423,La Ruedita,match,screenshots/3c48b4051914d6b3.jpg,735132e02ed644835dbb591ecaa716f5ba5522b1dccdb04c7d85256691d8353f
d0b55afa018d76d8,La Tica y La Gata,Puerto Viejo,,+50687560823,La Tica Y La Gata,match,screenshots/d0b55afa018d76d8.jpg,1bd6516b490f8112a336ba34923524348115ce9f809356b81f6e171f48d091cb
01a3da99f34d1e57,La Tinta Tropical,Puerto Viejo,,+50689489183,•LA TINTA TROPICAL• Tattoo Studio,match,screenshots/01a3da99f34d1e57.jpg,ef35ff0d4ed5f53a6db13be6bb0ecc2a5b9756bf8b7034a0e6db81d5c6ee08f0
bcbd31c06ea88a56,Las Mariposas,Playa Chiquita,,+50683933939,Las Mariposas,match,screenshots/bcbd31c06ea88a56.jpg,bb5e683c5c6b3365ef620d4b18517b334c71d786142f82114bb56416cfbf7165
cc5d295b74817c21,Marea Santa,Puerto Viejo,,+50670100062,Marea Santa,match,screenshots/cc5d295b74817c21.jpg,95acceccde3cf8232f2c440c4266d5836ae9d8ab18b30bba5dd64e69962ddc1f
ef8220cd2c7bc005,Mishka Lodge,Playa Negra,,+50689466270,Mishka Lodge,match,screenshots/ef8220cd2c7bc005.jpg,dbd423b65474c95c4073f5d5668efd3e1d8e53b2ec8790720230733e3548b07d
1367c59e9d504446,Morpho Casitas,Playa Negra,,+50689836677,Caribbean Blue Morpho Casitas,match,screenshots/1367c59e9d504446.jpg,f9a8ed342c9ff9bcbb21048a9f9be749d03904d8d3f99c6efdf422804401eb24
ec6c4971d4320f02,"Mulata - Cahuita, Limón, Costa Rica",Cahuita,,+50661375040,Mulata,match,screenshots/ec6c4971d4320f02.jpg,0756c520018fabb540e7de6161a6ddb9380f7006a92d44c83e5197216f0cd477
5aef2ebb6d3170a2,Namu Garden Hotel and Spa,Puerto Viejo,,+50687896070,Namu,match,screenshots/5aef2ebb6d3170a2.jpg,f7f723aeba0da5894d7860c37a682d2a7cd123bc8ef89f821bb051acb87d1d9a
54a85d8f8162e689,Nana's Place Beach House,Playa Chiquita,,+50687820610,Nana's Place Beach House,match,screenshots/54a85d8f8162e689.jpg,431ec9bf9cb767931bc01a78248d52b9395fb6d9457826774a56c89c7e1060e0
2ac84f47cc7d66a1,Nanku,Puerto Viejo,,+50688354041,"Nanku ,Puerto Viejo",match,screenshots/2ac84f47cc7d66a1.jpg,fe2e87494dd53ba2e94e1b9c9c66b0b82ab7726e5061a8ccc0e2e93e9bf53ddc
37b4504d22007b98,Naturama Store,Puerto Viejo,,+50689180137,Naturama Store,match,screenshots/37b4504d22007b98.jpg,49dadb89dbe9543512aef76cc0c41a52598887c1052606b6bcd5dda2cd70e44b
7fd2a3095aa61bbd,"Ocean View Lodge Cahuita - Cahuita, Limón, Costa Rica",Cahuita,,+50627551166,Ocean View Lodge,match,screenshots/7fd2a3095aa61bbd.jpg,fcb073f17551ca788399bac67ae0188c7565814920608951a2c5345abd0b6e41
f957faa38a00d8cb,"Olguita's Place - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,,+50683014989,Olguita's Place,match,screenshots/f957faa38a00d8cb.jpg,29d62b1ebadf9ddc545d7321aafda1b912f10af7cf5288578fb4a3d9ddc9b026
71339153430ce31e,"Pangea Lodge - Manzanillo, Limón, Costa Rica",Manzanillo,,+50687384860,Pangea Lodge,match,screenshots/71339153430ce31e.jpg,f0aa2a1138895b19781c08f9512f42af45a3ff4bc7407d2f8d50387807a952dc
3ffcb2aac76e0ed7,"Passion Fruit Ecolodge - Cahuita, Limón, Costa Rica",Cahuita,,+50689399823,Passion Fruit Ecolodge,match,screenshots/3ffcb2aac76e0ed7.jpg,6ce0629dd5e76d20f1a2b901b4866e300a21421d2d38ad9f9c739c205d920a4d
a41d4500715e5079,Port Vell,Puerto Viejo,,+50660388624,Port Vell Restaurante,match,screenshots/a41d4500715e5079.jpg,256e79cd6d7a00bf38bb4b7042c07b312145752b78095a5a4b1a44384878b7d5
31e7270498f1d249,"Punta Uva Dive Center - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,,+50688444432,Punta uva,match,screenshots/31e7270498f1d249.jpg,8c58387759da77031e36fbcbd3de374d02965e3066ba7b68aaa62a80d6154247
aee5bab17ced794a,Rico Tico Tours,Puerto Viejo,,+50671115089,Rico Tico Tours,match,screenshots/aee5bab17ced794a.jpg,30135983099c66df2c1938902acecef21004a067d051fdcca37a16b4af761e83
982cc6466d18dbff,River Box Cocles,Playa Negra,,+50663801253,River Box,match,screenshots/982cc6466d18dbff.jpg,249f975b8217d32364e49a200d1f319b566212d812f40e6d71ea828b7c663c26
ca7fb75fa9ef74d1,Soulsurfer,Puerto Viejo,,+50686574263,SoulSurfer,match,screenshots/ca7fb75fa9ef74d1.jpg,758bea88457df9f36bc91ae56424ca005694c6098007e10fbaf701a28b74b2c1
aaf9825e2c9feb59,"Surya Spa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,,+50686979863,Surya Spa,match,screenshots/aaf9825e2c9feb59.jpg,12bd6ccce545602384e2bef70fe9fcd136146693f1d40d65d1a7ab807a798a8a
f0835152e873ea34,"Tarponville Fishing Lodge - Manzanillo, Limón, Costa Rica",Manzanillo,,+50684997131,Manzanillo,match,screenshots/f0835152e873ea34.jpg,519482bf20a8de4327a013dabe44717b8faa998c8a830983f2a3f5533d4941f0
70e3a2cc4d35044b,The Bush,Cocles,,+50670618099,The Bush Doctah Herbalist,match,screenshots/70e3a2cc4d35044b.jpg,ba1ae1b05389426f1842c953590ac5ad8daaea8d853326df1556ebf67f1dce20
e1fc133b527ba27f,The Bush Doctah Herbalist,Cocles,,+50670618099,The Bush Doctah Herbalist,match,screenshots/e1fc133b527ba27f.jpg,ba1ae1b05389426f1842c953590ac5ad8daaea8d853326df1556ebf67f1dce20
3f8d10c4fe8742f0,"Villa Mango - Cahuita, Limón, Costa Rica",Cahuita,,+50683701469,Villa Mango,match,screenshots/3f8d10c4fe8742f0.jpg,3397ea763a95046a684c0127fbdf10b0af2988768addb4eae4134f306fc16295
7c843959aeed10b5,"Villas Ande - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,,+50684035858,Villas Ande,match,screenshots/7c843959aeed10b5.jpg,ccc223b6734b0a32c1c5484758370a209989836b78579eef05331bf2f49234d6
885443b1326e4430,Villas Kandulu,Playa Negra,,+50664259581,•Villas Kandulu•,match,screenshots/885443b1326e4430.jpg,e8591f36f3b828d019a173d1faa9ca1fe9b22e74be62750ff47bcec41483224e
5ab6757ffec012a6,"Villas Luna Africana by Palmer - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,,+50664876758,Villas Luna Africana by Palmer,match,screenshots/5ab6757ffec012a6.jpg,90c383b5923b4202c1239a70956aa8f46b5ded0ced2709fc49aff9b490aff70a
4b2851dc904b868e,"Villas Roca del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,,+50661859101,Villas Roca Del Caribe,match,screenshots/4b2851dc904b868e.jpg,e832ae2f9d2e866aac7928a59094725d2abaa5e1f760d8be9a2d055e085883f8
1d049a8bf639dbf5,"Villas Ríos del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,,+50689443302,Villas Ríos del Caribe,match,screenshots/1d049a8bf639dbf5.jpg,4effb00b50ea475e1c00ce8996b9052c86ca82b81768e811873eb13e542d04a7
6c10965523875ab3,Vol'Air Dance Studio,Puerto Viejo,,+50683019933,Vol’Air Dance studio,match,screenshots/6c10965523875ab3.jpg,e6fca065ec7cae065dfd830cb0f72c2047fdd9db71b7ce665d1dbcc6367782e0
