latitude,longitude,zoom_z16,zoom_z17,zone
9.637382,-82.727712,True,False,standard
9.637382,-82.724971,True,False,standard
9.637382,-82.722229,True,False,standard
9.637382,-82.719488,True,False,standard
9.637382,-82.716746,True,False,standard
9.637382,-82.714005,True,True,dense
9.640085,-82.729083,True,False,standard
9.640085,-82.726342,True,False,standard
9.640085,-82.7236,True,False,standard
9.640085,-82.720858,True,False,standard
9.640085,-82.718117,True,False,standard
9.640085,-82.715375,True,False,standard
9.640085,-82.712634,True,True,dense
9.642787,-82.727712,True,False,standard
9.642787,-82.724971,True,False,standard
9.642787,-82.722229,True,False,standard
9.642787,-82.719488,True,False,standard
9.642787,-82.716746,True,False,standard
9.642787,-82.714005,True,False,standard
9.642787,-82.711263,True,True,dense
9.64549,-82.742791,True,True,dense
9.64549,-82.740049,True,True,dense
9.64549,-82.737308,True,True,dense
9.64549,-82.734566,True,True,dense
9.64549,-82.731825,True,False,standard
9.64549,-82.729083,True,False,standard
9.64549,-82.726342,True,False,standard
9.64549,-82.7236,True,False,standard
9.64549,-82.720858,True,False,standard
9.64549,-82.718117,True,False,standard
9.64549,-82.715375,True,False,standard
9.64549,-82.712634,True,False,standard
9.64549,-82.709892,True,False,standard
9.648193,-82.744162,True,True,dense
9.648193,-82.74142,True,True,dense
9.648193,-82.738678,True,True,dense
9.648193,-82.735937,True,True,dense
9.648193,-82.733195,True,True,dense
9.648193,-82.730454,True,False,standard
9.648193,-82.727712,True,False,standard
9.648193,-82.724971,True,False,standard
9.648193,-82.722229,True,False,standard
9.648193,-82.719488,True,False,standard
9.648193,-82.716746,True,False,standard
9.648193,-82.714005,True,False,standard
9.648193,-82.711263,True,False,standard
9.648193,-82.708522,True,False,standard
9.650895,-82.75924,True,False,standard
9.650895,-82.756498,True,False,standard
9.650895,-82.753757,True,True,dense
9.650895,-82.751015,True,False,standard
9.650895,-82.748274,True,False,standard
9.650895,-82.745532,True,True,dense
9.650895,-82.742791,True,True,dense
9.650895,-82.740049,True,True,dense
9.650895,-82.737308,True,True,dense
9.650895,-82.734566,True,True,dense
9.650895,-82.731825,True,True,dense
9.653598,-82.757869,True,True,dense
9.653598,-82.755128,True,True,dense
9.653598,-82.752386,True,True,dense
9.653598,-82.749645,True,True,dense
9.653598,-82.746903,True,True,dense
9.653598,-82.744162,True,True,dense
9.653598,-82.74142,True,True,dense
9.653598,-82.738678,True,True,dense
9.653598,-82.735937,True,True,dense
9.653598,-82.733195,True,True,dense
9.653598,-82.730454,True,False,standard
9.656301,-82.75924,True,True,dense
9.656301,-82.756498,True,True,dense
9.656301,-82.753757,True,True,dense
9.656301,-82.751015,True,True,dense
9.656301,-82.748274,True,True,dense
9.656301,-82.745532,True,True,dense
9.656301,-82.742791,True,True,dense
9.656301,-82.740049,True,True,dense
9.659004,-82.757869,True,True,dense
9.659004,-82.755128,True,True,dense
9.659004,-82.752386,True,True,dense
9.659004,-82.749645,True,True,dense
9.659004,-82.746903,True,True,dense
9.659004,-82.744162,True,True,dense
9.659004,-82.74142,True,True,dense
9.661706,-82.778431,True,False,standard
9.661706,-82.775689,True,False,standard
9.661706,-82.772948,True,True,dense
9.661706,-82.770206,True,True,dense
9.661706,-82.767465,True,True,dense
9.661706,-82.764723,True,True,dense
9.661706,-82.761982,True,False,standard
9.661706,-82.75924,True,True,dense
9.661706,-82.756498,True,True,dense
9.661706,-82.753757,True,True,dense
9.661706,-82.751015,True,True,dense
9.661706,-82.748274,True,True,dense
9.661706,-82.745532,True,False,standard
9.661706,-82.742791,True,False,standard
9.661706,-82.740049,True,False,standard
9.664409,-82.779802,True,False,standard
9.664409,-82.77706,True,False,standard
9.664409,-82.774318,True,True,dense
9.664409,-82.771577,True,True,dense
9.664409,-82.768835,True,True,dense
9.664409,-82.766094,True,True,dense
9.664409,-82.763352,True,False,standard
9.664409,-82.760611,True,False,standard
9.664409,-82.757869,True,False,standard
9.664409,-82.755128,True,True,dense
9.664409,-82.752386,True,True,dense
9.664409,-82.749645,True,False,standard
9.664409,-82.746903,True,False,standard
9.664409,-82.744162,True,False,standard
9.664409,-82.74142,True,False,standard
9.667112,-82.778431,True,False,standard
9.667112,-82.775689,True,False,standard
9.667112,-82.772948,True,True,dense
9.667112,-82.770206,True,True,dense
9.667112,-82.767465,True,True,dense
9.667112,-82.764723,True,False,standard
9.667112,-82.761982,True,False,standard
9.667112,-82.75924,True,False,standard
9.667112,-82.756498,True,False,standard
9.667112,-82.753757,True,False,standard
9.667112,-82.751015,True,False,standard
9.667112,-82.748274,True,False,standard
9.667112,-82.745532,True,False,standard
9.667112,-82.742791,True,False,standard
9.667112,-82.740049,True,False,standard
9.669814,-82.779802,True,False,standard
9.669814,-82.77706,True,False,standard
9.669814,-82.774318,True,False,standard
9.669814,-82.771577,True,False,standard
9.669814,-82.768835,True,False,standard
9.669814,-82.766094,True,False,standard
9.669814,-82.763352,True,False,standard
9.669814,-82.760611,True,False,standard
9.669814,-82.757869,True,False,standard
9.669814,-82.755128,True,False,standard
9.669814,-82.752386,True,False,standard
9.669814,-82.749645,True,False,standard
9.669814,-82.746903,True,False,standard
9.669814,-82.744162,True,False,standard
9.669814,-82.74142,True,False,standard
9.680625,-82.779802,True,False,standard
9.680625,-82.77706,True,False,standard
9.680625,-82.774318,True,False,standard
9.680625,-82.771577,True,False,standard
9.680625,-82.768835,True,False,standard
9.680625,-82.766094,True,False,standard
9.680625,-82.763352,True,False,standard
9.680625,-82.760611,True,False,standard
9.683328,-82.778431,True,False,standard
9.683328,-82.775689,True,False,standard
9.683328,-82.772948,True,False,standard
9.683328,-82.770206,True,False,standard
9.683328,-82.767465,True,False,standard
9.683328,-82.764723,True,False,standard
9.683328,-82.761982,True,False,standard
9.686031,-82.779802,True,False,standard
9.686031,-82.77706,True,False,standard
9.686031,-82.774318,True,False,standard
9.686031,-82.771577,True,False,standard
9.686031,-82.768835,True,False,standard
9.686031,-82.766094,True,False,standard
9.686031,-82.763352,True,False,standard
9.686031,-82.760611,True,False,standard
9.688733,-82.778431,True,False,standard
9.688733,-82.775689,True,False,standard
9.688733,-82.772948,True,False,standard
9.688733,-82.770206,True,False,standard
9.688733,-82.767465,True,False,standard
9.688733,-82.764723,True,False,standard
9.688733,-82.761982,True,False,standard
9.691436,-82.779802,True,False,standard
9.691436,-82.77706,True,False,standard
9.691436,-82.774318,True,False,standard
9.691436,-82.771577,True,False,standard
9.691436,-82.768835,True,False,standard
9.691436,-82.766094,True,False,standard
9.691436,-82.763352,True,False,standard
9.691436,-82.760611,True,False,standard
9.694139,-82.775689,True,False,standard
9.694139,-82.772948,True,False,standard
9.694139,-82.770206,True,False,standard
9.694139,-82.767465,True,False,standard
9.694139,-82.764723,True,False,standard
9.694139,-82.761982,True,False,standard
9.696841,-82.768835,True,False,standard
9.696841,-82.766094,True,False,standard
9.696841,-82.763352,True,False,standard
9.696841,-82.760611,True,False,standard
9.699544,-82.761982,True,False,standard
